open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-06-14 09:00:00,105095.04,105110.15,105000.52,105010.66,144.45566,2025-06-14 09:29:59.999,15174114.30311960,18359,54.14763000,5688287.26509410,0
2025-06-14 09:30:00,105010.65,105010.66,104850.54,104862.26,108.91649,2025-06-14 09:59:59.999,11425663.17021110,18917,38.22415000,4010011.71956930,0
2025-06-14 10:00:00,104862.26,104994.71,104836.06,104994.71,71.42014,2025-06-14 10:29:59.999,7493671.37880320,21118,38.85855000,4077068.47703910,0
2025-06-14 10:30:00,104994.7,105117.07,104994.7,105011.92,74.1541,2025-06-14 10:59:59.999,7789601.37525110,15812,37.57413000,3946634.00034410,0
2025-06-14 11:00:00,105011.92,105072.89,104948.38,105009.54,58.76835,2025-06-14 11:29:59.999,6171561.32355900,15256,27.62984000,2901617.53076580,0
2025-06-14 11:30:00,105009.55,105096.0,104960.99,105082.01,113.7076,2025-06-14 11:59:59.999,11944053.98098380,21287,67.04709000,7043043.11188240,0
2025-06-14 12:00:00,105082.01,105100.0,104909.43,104910.0,92.8434,2025-06-14 12:29:59.999,9747159.03370030,23101,37.40783000,3927597.02386090,0
2025-06-14 12:30:00,104910.0,105053.66,104745.1,105053.63,174.59786,2025-06-14 12:59:59.999,18315691.48384300,34214,81.52050000,8553142.58318760,0
2025-06-14 13:00:00,105053.64,105131.25,104902.28,104934.21,128.35776,2025-06-14 13:29:59.999,13478496.04666090,25493,46.59396000,4892682.10030930,0
2025-06-14 13:30:00,104934.22,105090.36,104905.19,105017.41,134.66537,2025-06-14 13:59:59.999,14141988.85996160,26329,71.19351000,7477295.86497790,0
2025-06-14 14:00:00,105017.41,105060.42,105000.7,105005.86,58.87451,2025-06-14 14:29:59.999,6183408.77957860,18200,26.84462000,2819362.42150400,0
2025-06-14 14:30:00,105005.86,105005.86,104841.96,104913.01,98.94812,2025-06-14 14:59:59.999,10380872.40358880,24400,38.02169000,3988838.57557270,0
2025-06-14 15:00:00,104913.01,104983.05,104860.01,104902.11,85.56218,2025-06-14 15:29:59.999,8978367.12095760,22671,39.83106000,4179550.67227310,0
2025-06-14 15:30:00,104902.12,104902.12,104615.38,104841.3,271.29128,2025-06-14 15:59:59.999,28418906.28847600,48239,98.06362000,10272372.13089650,0
2025-06-14 16:00:00,104841.29,104900.0,104700.88,104711.71,121.91879,2025-06-14 16:29:59.999,12778068.44364710,35986,62.23834000,6523113.76051870,0
2025-06-14 16:30:00,104711.71,104711.72,104359.5,104457.85,550.89017,2025-06-14 16:59:59.999,57570867.32453470,63073,199.85649000,20889046.44859120,0
2025-06-14 17:00:00,104457.84,104721.53,104404.9,104668.21,171.93823,2025-06-14 17:29:59.999,17985026.57208970,37564,73.16713000,7650627.20379760,0
2025-06-14 17:30:00,104668.21,104705.19,104474.99,104608.17,170.57038,2025-06-14 17:59:59.999,17834271.10177840,26559,52.66614000,5507253.01101660,0
2025-06-14 18:00:00,104608.18,104995.72,104599.98,104610.84,133.31911,2025-06-14 18:29:59.999,13970581.45006290,29054,55.20696000,5785174.89401070,0
2025-06-14 18:30:00,104610.83,104906.1,104359.08,104892.81,217.94937,2025-06-14 18:59:59.999,22787311.48960920,56759,123.36566000,12898966.25601280,0
2025-06-14 19:00:00,104892.82,105045.78,104803.11,104914.41,176.66441,2025-06-14 19:29:59.999,18536835.08325210,50367,71.70862000,7523078.89220820,0
2025-06-14 19:30:00,104914.42,105015.63,104630.19,104645.67,144.04202,2025-06-14 19:59:59.999,15101689.80205870,37147,34.93551000,3662781.51714970,0
2025-06-14 20:00:00,104645.66,104728.74,104300.0,104648.51,217.44874,2025-06-14 20:29:59.999,22721055.28339720,70393,87.60540000,9155258.60549530,0
2025-06-14 20:30:00,104648.51,104991.0,104648.51,104894.29,155.51483,2025-06-14 20:59:59.999,16309604.36129210,50418,70.95020000,7440638.49948170,0
2025-06-14 21:00:00,104894.3,105218.03,104867.14,105168.75,200.19136,2025-06-14 21:29:59.999,21024187.04944110,42494,113.10443000,11879213.76970140,0
2025-06-14 21:30:00,105168.76,105458.71,105088.23,105315.54,214.07799,2025-06-14 21:59:59.999,22535810.54012520,51017,117.66538000,12387761.59048200,0
2025-06-14 22:00:00,105315.55,105480.0,105313.56,105463.54,132.73983,2025-06-14 22:29:59.999,13996614.04154600,34818,64.38321000,6788913.47375070,0
2025-06-14 22:30:00,105463.54,105463.55,105289.45,105428.74,89.68473,2025-06-14 22:59:59.999,9450276.19040390,25452,24.14503000,2544086.95659380,0
2025-06-14 23:00:00,105428.75,105480.0,105348.81,105377.99,144.30905,2025-06-14 23:29:59.999,15213120.88958160,24520,41.42706000,4367318.17346280,0
2025-06-14 23:30:00,105378.0,105477.08,105353.27,105414.64,105.604,2025-06-14 23:59:59.999,11133279.64806220,16431,26.00273000,2741044.02401230,0
2025-06-15 00:00:00,105414.63,105480.0,105361.78,105409.35,158.02187,2025-06-15 00:29:59.999,16661798.77403780,20575,99.84717000,10528612.11048820,0
2025-06-15 00:30:00,105409.36,105663.98,105264.75,105643.99,170.92207,2025-06-15 00:59:59.999,18032180.64850300,30420,108.62316000,11459653.30496290,0
2025-06-15 01:00:00,105643.99,105680.0,105427.66,105446.24,122.5956,2025-06-15 01:29:59.999,12937642.21540560,25872,34.05458000,3594035.10197970,0
2025-06-15 01:30:00,105446.25,105483.67,105410.5,105421.03,73.642,2025-06-15 01:59:59.999,7764628.82233660,15502,25.67036000,2706590.25980430,0
